Nodes,Flows,Packet/s,Speed,Throughput,Delay(ms),Delivery Ratio(%),Drop Ratio (%)
9,5,135.87,1,0.852509,43.3918,99.1636,0.185874
9,5,271.739,1,1.62312,49.5239,98.845,0.673725
9,5,407.609,1,2.1884,45.9967,99.058,0.507246
9,5,543.478,1,2.75388,49.7382,99.1877,0.40615
9,5,679.348,1,3.29132,64.998,99.2456,0.365052
9,5,1358.7,1,3.49277,92.4782,98.0273,0.470746
9,5,2038.04,1,3.49277,92.4782,98.0273,0.470746
9,5,2717.39,1,3.49277,92.4782,98.0273,0.470746
9,5,3396.74,1,3.49277,92.4782,98.0273,0.470746
