Nodes,Flows,Packet/s,Speed,Throughput,Delay(ms),Delivery Ratio(%),Drop Ratio (%)
9,5,679.348,1,3.29132,64.998,99.2456,0.365052
9,10,679.348,1,3.49729,102.316,96.8878,1.4048
9,15,679.348,1,3.49959,108.775,95.5243,2.73167
9,20,679.348,1,3.50222,109.886,94.9907,3.27767
9,25,679.348,1,3.5018,112.224,94.4444,3.84615
9,30,679.348,1,3.50224,114.72,93.3173,4.40176
9,35,679.348,1,3.50141,116.607,92.2591,5.07504
