Nodes,Flows,Packet/s,Speed(m/s),Throughput(Kbps),Delay(ms),Delivery Ratio(%),Drop Ratio (%)
8,5,7812.5,1,0.152,144.88,34.7222,65.2778
8,5,7812.5,2,0.14592,149.875,33.3333,65.2778
8,5,7812.5,4,0.13984,155.478,32.3944,66.1972
8,5,7812.5,6,0.13376,160.636,33.3333,65.1515
8,5,7812.5,10,0.1216,174.7,31.25,67.1875
8,5,7812.5,12,0.1216,175.55,31.25,67.1875
