Nodes,Flows,Packet/s,Speed(m/s),Throughput(Kbps),Delay(ms),Delivery Ratio(%),Drop Ratio (%)
8,5,7812.5,1,0.152,144.88,34.7222,65.2778
8,10,7812.5,1,0.29184,164.375,33.3333,65.9722
8,15,7812.5,1,0.4256,331.486,33.3333,64.7619
8,20,7812.5,1,0.51072,327.036,29.5775,69.3662
8,25,7812.5,1,0.63232,277.635,30.4094,67.5439
8,30,7812.5,1,0.76608,445.365,30.2885,68.0288
8,35,7812.5,1,0.83296,248.825,28.4823,68.1913
8,40,7812.5,1,1.01536,251.006,27.1987,71.3355
