#Attacker,Throughput,Drop Ratio (%)
2,2.07493,19.6787
4,0.420403,41.0959
8,0.178995,49.2308
12,0.177818,46.9697
16,0.252006,52.3077
20,0.199014,50.7692
30,0.262605,50.7692
50,0.18135,49.2308
